adapt_UBM,delta,emo_rank,enrm_threshold,n_components,n_static,score_norm,spk_norm,test,test_std,train,train_std,tv_rank,utt_norm
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.837837837837838,0.023406091994174,0.997747747747748,0.003901015332362,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.820945945945946,0.030778491821434,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.804054054054054,0.024361832942324,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.820945945945946,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.837837837837838,0.023406091994174,0.997747747747748,0.003901015332362,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.804054054054054,0.047297297297297,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.827702702702703,0.05683312108534,1,0,75,NormalizationMethod.none
